,movie title
15,"Close Shave, A "
16,Schindler's List 
17,"Wrong Trousers, The "
18,Casablanca 
19,Wallace & Gromit: The Best of Aardman Animation 
20,"Shawshank Redemption, The "
21,Rear Window 
22,"Usual Suspects, The "
23,Star Wars 
24,12 Angry Men 
25,"Third Man, The "
28,Citizen Kane 
29,Some Folks Call It a Sling Blade 
30,To Kill a Mockingbird 
31,One Flew Over the Cuckoo's Nest 
32,"Silence of the Lambs, The "
33,North by Northwest 
34,"Godfather, The "
35,Secrets & Lies 
36,Good Will Hunting 
37,Shall We Dance? 
38,"Manchurian Candidate, The "
39,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb 
40,Raiders of the Lost Ark 
41,Vertigo 
